parameter,unit,flow3d_setup_record,postprocessing_basis,setup_source,postprocessing_source,status,manuscript_action,mandatory_reconciliation
material_property_treatment,-,"temperature independent density, viscosity, thermal conductivity and specific heat",FLOW-3D setup note is authoritative; property CSVs are retained only as reference scale curves,Flow3D_setup.md setup note,scripts/flow3d_pipeline/core.py and property CSV tables,resolved_to_flow3d_setup_numeric_property_values_not_listed,State that the solver setup records temperature-independent properties; treat tabulated property curves only as reference scale diagnostics unless the exact constant solver values are supplied.,False
beam_radius,m,8.0e-4,0.0008,Flow3D_setup.md setup note,scripts/flow3d_pipeline/core.py and property CSV tables,resolved_to_flow3d_setup,Use the setup-note value in the pipeline and manuscript.,False
absorptivity,-,0.1,0.1,Flow3D_setup.md setup note,scripts/flow3d_pipeline/core.py and property CSV tables,resolved_to_flow3d_setup,Use the setup-note value in the pipeline and manuscript.,False
solidus_temperature,K,1683,1683,Flow3D_setup.md setup note,scripts/flow3d_pipeline/core.py and property CSV tables,resolved_to_flow3d_setup,Use the setup-note value in the pipeline and manuscript.,False
liquidus_temperature,K,1710,1710,Flow3D_setup.md setup note,scripts/flow3d_pipeline/core.py and property CSV tables,resolved_to_flow3d_setup,Use the setup-note value in the pipeline and manuscript.,False
latent_heat_fusion,J/kg,2.67776e5,267776,Flow3D_setup.md setup note,scripts/flow3d_pipeline/core.py and property CSV tables,resolved_to_flow3d_setup,Use the setup-note value in the pipeline and manuscript.,False
surface_tension,N/m,1.8,1.8,Flow3D_setup.md setup note,scripts/flow3d_pipeline/core.py and property CSV tables,resolved_to_flow3d_setup,Use the setup-note value in the pipeline and manuscript; keep thermocapillary interpretation as scale context only.,False
surface_tension_temperature_coefficient,N/(m K),2.50836e-4,0.000250836,Flow3D_setup.md setup note,scripts/flow3d_pipeline/core.py and property CSV tables,resolved_to_flow3d_setup,Use the setup-note value in the pipeline and manuscript; keep Ma as a scale diagnostic unless exact solver transport constants are supplied.,False
cell_size,m,1.0e-4,not used in reduced-model fitting,Flow3D_setup.md setup note,not applicable,setup_note_only,Report as available CFD setup context; state that no mesh/time-step convergence run is included in the current data-only revision.,False
validation_scope,-,same FLOW-3D modeling ecosystem,A1-A15 training matrix plus V-prefixed and A16-A20 CFD holdout cohorts,"raw data, validation data and additional data folders",generated validation tables,confirmed_scope_limitation,Use CFD holdout wording; do not call it experimental melt-pool validation.,False
